consistency,run,writes_attempted,writes_successful,errors,duration_seconds,throughput_events_per_second,p50_latency_ms,p95_latency_ms
ONE,1,10000,10000,0,15.49,645.5,45.3,84.25
LOCAL_QUORUM,1,10000,10000,0,16.54,604.75,48.72,85.85
ALL,1,10000,10000,0,17.39,574.96,50.33,90.56
ONE,2,10000,10000,0,22.25,449.35,17.36,61.54
LOCAL_QUORUM,2,10000,10000,0,15.92,628.13,46.85,81.66
ALL,2,10000,10000,0,15.94,627.39,47.19,80.17
ONE,3,10000,10000,0,13.01,768.52,34.2,61.43
LOCAL_QUORUM,3,10000,10000,0,11.75,851.11,34.55,59.87
ALL,3,10000,10000,0,14.04,712.1,40.49,74.93
ONE,4,10000,10000,0,11.94,837.34,35.29,61.97
LOCAL_QUORUM,4,10000,10000,0,11.99,833.78,35.66,61.6
ALL,4,10000,10000,0,13.34,749.55,32.49,61.18
ONE,5,10000,10000,0,11.74,851.61,34.42,60.63
LOCAL_QUORUM,5,10000,10000,0,12.11,825.88,35.82,60.98
ALL,5,10000,10000,0,12.06,829.53,35.66,60.06
