node_id,max_depth,iteration,latency_ms,total_affected
SS_002,1,1,20.37,1
SS_002,1,2,17.637,1
SS_002,1,3,17.148,1
SS_002,1,4,13.312,1
SS_002,1,5,12.112,1
SS_002,1,6,9.435,1
SS_002,1,7,13.148,1
SS_002,1,8,12.514,1
SS_002,1,9,13.897,1
SS_002,1,10,16.611,1
SS_002,1,11,9.312,1
SS_002,1,12,13.743,1
SS_002,1,13,10.691,1
SS_002,1,14,14.664,1
SS_002,1,15,11.3,1
SS_002,1,16,11.251,1
SS_002,1,17,14.34,1
SS_002,1,18,11.317,1
SS_002,1,19,10.338,1
SS_002,1,20,14.053,1
SS_002,1,21,13.373,1
SS_002,1,22,15.402,1
SS_002,1,23,12.477,1
SS_002,1,24,9.751,1
SS_002,1,25,18.447,1
SS_002,1,26,12.758,1
SS_002,1,27,13.785,1
SS_002,1,28,12.355,1
SS_002,1,29,10.08,1
SS_002,1,30,16.269,1
SS_002,2,1,11.524,2
SS_002,2,2,10.382,2
SS_002,2,3,9.785,2
SS_002,2,4,12.77,2
SS_002,2,5,17.388,2
SS_002,2,6,13.477,2
SS_002,2,7,14.462,2
SS_002,2,8,12.301,2
SS_002,2,9,10.228,2
SS_002,2,10,14.265,2
SS_002,2,11,13.223,2
SS_002,2,12,12.185,2
SS_002,2,13,15.293,2
SS_002,2,14,8.965,2
SS_002,2,15,11.577,2
SS_002,2,16,11.946,2
SS_002,2,17,14.614,2
SS_002,2,18,14.058,2
SS_002,2,19,14.859,2
SS_002,2,20,10.682,2
SS_002,2,21,8.948,2
SS_002,2,22,13.337,2
SS_002,2,23,13.951,2
SS_002,2,24,15.019,2
SS_002,2,25,12.165,2
SS_002,2,26,14.456,2
SS_002,2,27,8.76,2
SS_002,2,28,9.337,2
SS_002,2,29,11.404,2
SS_002,2,30,8.94,2
SS_002,3,1,11.262,8
SS_002,3,2,9.899,8
SS_002,3,3,10.219,8
SS_002,3,4,18.655,8
SS_002,3,5,16.956,8
SS_002,3,6,15.259,8
SS_002,3,7,13.979,8
SS_002,3,8,11.868,8
SS_002,3,9,15.981,8
SS_002,3,10,18.826,8
SS_002,3,11,10.948,8
SS_002,3,12,13.159,8
SS_002,3,13,14.847,8
SS_002,3,14,10.888,8
SS_002,3,15,13.963,8
SS_002,3,16,13.576,8
SS_002,3,17,14.383,8
SS_002,3,18,11.4,8
SS_002,3,19,9.886,8
SS_002,3,20,12.577,8
SS_002,3,21,11.968,8
SS_002,3,22,9.761,8
SS_002,3,23,15.969,8
SS_002,3,24,16.61,8
SS_002,3,25,10.465,8
SS_002,3,26,8.947,8
SS_002,3,27,7.87,8
SS_002,3,28,10.672,8
SS_002,3,29,12.814,8
SS_002,3,30,12.128,8
SS_002,4,1,15.681,14
SS_002,4,2,16.57,14
SS_002,4,3,22.011,14
SS_002,4,4,14.578,14
SS_002,4,5,10.837,14
SS_002,4,6,17.576,14
SS_002,4,7,11.338,14
SS_002,4,8,12.559,14
SS_002,4,9,14.57,14
SS_002,4,10,14.954,14
SS_002,4,11,13.268,14
SS_002,4,12,11.49,14
SS_002,4,13,11.53,14
SS_002,4,14,16.644,14
SS_002,4,15,10.75,14
SS_002,4,16,7.913,14
SS_002,4,17,8.428,14
SS_002,4,18,8.014,14
SS_002,4,19,10.339,14
SS_002,4,20,16.279,14
SS_002,4,21,18.572,14
SS_002,4,22,11.946,14
SS_002,4,23,12.18,14
SS_002,4,24,19.29,14
SS_002,4,25,13.585,14
SS_002,4,26,13.821,14
SS_002,4,27,12.61,14
SS_002,4,28,16.246,14
SS_002,4,29,16.142,14
SS_002,4,30,20.834,14
SS_002,5,1,19.093,20
SS_002,5,2,18.321,20
SS_002,5,3,17.484,20
SS_002,5,4,16.664,20
SS_002,5,5,18.908,20
